日期,河名,站名,水位,流量,含沙量
2012/1/1,黄河                          ,唐乃亥                        ,2670.87,271,-
2012/1/1,黄河                          ,龙羊峡入库,-,201,-
2012/1/1,黄河                          ,龙羊峡蓄水量,2585.71,(195)亿,-
2012/1/1,黄河                          ,龙羊峡出库,-,596,-
2012/1/1,黄河                          ,刘家峡入库,-,635,-
2012/1/1,黄河                          ,刘家峡蓄水量,1725.46,(28.6)亿,-
2012/1/1,黄河                          ,刘家峡出库,-,503,-
2012/1/1,黄河                          ,兰州                          ,1510.97,488,-
2012/1/1,黄河                          ,下河沿                        ,1229.33,580,-
2012/1/1,黄河                          ,石嘴山                        ,1085.55,665,-
2012/1/1,黄河                          ,巴彦高勒                      ,1052.96,482,-
2012/1/1,黄河                          ,三湖河口                      ,1018.2,312,-
2012/1/1,黄河                          ,包头                          ,-,-,-
2012/1/1,黄河                          ,头道拐                        ,986.83,276,-
2012/1/1,黄河                          ,万家寨蓄水量,966.7,(1.87)亿,-
2012/1/1,黄河                          ,万家寨上出库,-,249,-
2012/1/1,黄河                          ,万家寨下                      ,896.62,249,-
2012/1/1,黄河                          ,府谷                          ,807.08,135,-
2012/1/1,黄河                          ,吴堡                          ,635.84,326,*22.6
2012/1/1,黄河                          ,龙门                          ,381.81,565,*42.6
2012/1/1,汾河                          ,河津                          ,371.07,23.2,*0.661
2012/1/1,北洛河                        ,状头                          ,361.72,16.4,-
2012/1/1,泾河                          ,张家山                        ,420.66,13,-
2012/1/1,渭河                          ,咸阳                          ,381.21,68.4,-
2012/1/1,渭河                          ,华县(二)                      ,334.54,134,*11.5
2012/1/1,黄河                          ,潼关                          ,325.37,725,*22.4
2012/1/1,黄河                          ,史家滩蓄水量,317.56,(4.54)亿,-
2012/1/1,黄河                          ,三门峡                        ,271.7,69.1,*29.1
2012/1/1,黄河                          ,小浪底上蓄水量,264.88,(76.6)亿,-
2012/1/1,黄河                          ,小浪底                        ,134.1,1280,*77.6
2012/1/1,伊河                          ,东湾                          ,-,-,-
2012/1/1,伊河                          ,陆浑坝上蓄水量,318.59,(6.29)亿,-
2012/1/1,伊河                          ,陆浑坝上出库,-,-,-
2012/1/1,伊河                          ,龙门镇                        ,147.95,48,-
2012/1/1,洛河                          ,卢氏                          ,-,-,-
2012/1/1,洛河                          ,故县水库蓄水量,533.07,(6.40)亿,-
2012/1/1,洛河                          ,故县水库出库,-,-,-
2012/1/1,洛河                          ,长水（二）                    ,377.97,3.12,-
2012/1/1,洛河                          ,白马寺                        ,113.65,53.3,-
2012/1/1,伊洛河                        ,黑石关                        ,104.14,157,-
2012/1/1,丹河                          ,山路坪                        ,-,-,-
2012/1/1,沁河                          ,五龙口                        ,-,-,-
2012/1/1,沁河                          ,武陟                          ,100.22,32.2,-
2012/1/1,黄河                          ,花园口                        ,89.58,1330,-
2012/1/1,黄河                          ,夹河滩                        ,72.69,1110,-
2012/1/1,黄河                          ,高村                          ,58.86,1180,-
2012/1/1,黄河                          ,孙口                          ,44,1120,-
2012/1/1,大汶河                        ,戴村坝,-,-,-
2012/1/1,东平湖                        ,东平湖老湖蓄水量,42.83,(5.13)亿,-
2012/1/1,大汶河                        ,出湖闸,-,-,-
2012/1/1,黄河                          ,艾山                          ,37.43,1190,-
2012/1/1,黄河                          ,泺口                          ,26.23,1220,-
2012/1/1,黄河                          ,利津                          ,9.94,610,-
2012/1/2,黄河                          ,唐乃亥                        ,2670.87,271,-
2012/1/2,黄河                          ,龙羊峡入库,-,225,-
2012/1/2,黄河                          ,龙羊峡蓄水量,2585.65,(195)亿,-
2012/1/2,黄河                          ,龙羊峡出库,-,462,-
2012/1/2,黄河                          ,刘家峡入库,-,626,-
2012/1/2,黄河                          ,刘家峡蓄水量,1725.57,(28.7)亿,-
2012/1/2,黄河                          ,刘家峡出库,-,478,-
2012/1/2,黄河                          ,兰州                          ,1510.91,462,-
2012/1/2,黄河                          ,下河沿                        ,1229.44,637,-
2012/1/2,黄河                          ,石嘴山                        ,1085.54,698,-
2012/1/2,黄河                          ,巴彦高勒                      ,1052.9,488,-
2012/1/2,黄河                          ,三湖河口                      ,1018.21,330,-
2012/1/2,黄河                          ,包头                          ,-,-,-
2012/1/2,黄河                          ,头道拐                        ,986.85,280,-
2012/1/2,黄河                          ,万家寨蓄水量,966.5,(1.84)亿,-
2012/1/2,黄河                          ,万家寨上出库,-,160,-
2012/1/2,黄河                          ,万家寨下                      ,897.96,160,-
2012/1/2,黄河                          ,府谷                          ,807.45,197,-
2012/1/2,黄河                          ,吴堡                          ,635.74,286,*22.6
2012/1/2,黄河                          ,龙门                          ,381.5,372,*42.6
2012/1/2,汾河                          ,河津                          ,370.98,21.1,*0.661
2012/1/2,北洛河                        ,状头                          ,361.73,17,-
2012/1/2,泾河                          ,张家山                        ,420.63,11.6,-
2012/1/2,渭河                          ,咸阳                          ,381.22,69.2,-
2012/1/2,渭河                          ,华县(二)                      ,334.55,135,*11.5
2012/1/2,黄河                          ,潼关                          ,325.4,657,*22.4
2012/1/2,黄河                          ,史家滩蓄水量,317.8,(4.74)亿,-
2012/1/2,黄河                          ,三门峡                        ,273.59,566,*29.1
2012/1/2,黄河                          ,小浪底上蓄水量,264.73,(76.3)亿,-
2012/1/2,黄河                          ,小浪底                        ,133.89,1090,*77.6
2012/1/2,伊河                          ,东湾                          ,-,-,-
2012/1/2,伊河                          ,陆浑坝上蓄水量,318.55,(6.28)亿,-
2012/1/2,伊河                          ,陆浑坝上出库,-,-,-
2012/1/2,伊河                          ,龙门镇                        ,147.94,47,-
2012/1/2,洛河                          ,卢氏                          ,-,-,-
2012/1/2,洛河                          ,故县水库蓄水量,533.11,(6.40)亿,-
2012/1/2,洛河                          ,故县水库出库,-,-,-
2012/1/2,洛河                          ,长水（二）                    ,377.98,3.37,-
2012/1/2,洛河                          ,白马寺                        ,113.49,31.4,-
2012/1/2,伊洛河                        ,黑石关                        ,103.96,79,-
2012/1/2,丹河                          ,山路坪                        ,-,-,-
2012/1/2,沁河                          ,五龙口                        ,-,-,-
2012/1/2,沁河                          ,武陟                          ,100.2,31.5,-
2012/1/2,黄河                          ,花园口                        ,89.59,1340,-
2012/1/2,黄河                          ,夹河滩                        ,72.76,1210,-
2012/1/2,黄河                          ,高村                          ,58.92,1260,-
2012/1/2,黄河                          ,孙口                          ,44.01,1240,-
2012/1/2,大汶河                        ,戴村坝,-,-,-
2012/1/2,东平湖                        ,东平湖老湖蓄水量,42.86,(5.17)亿,-
2012/1/2,大汶河                        ,出湖闸,-,-,-
2012/1/2,黄河                          ,艾山                          ,37.39,1160,-
2012/1/2,黄河                          ,泺口                          ,26.25,1230,-
2012/1/2,黄河                          ,利津                          ,10.17,1600,-
2012/1/3,黄河                          ,唐乃亥                        ,2670.87,271,-
2012/1/3,黄河                          ,龙羊峡入库,-,295,-
2012/1/3,黄河                          ,龙羊峡蓄水量,2585.6,(195)亿,-
2012/1/3,黄河                          ,龙羊峡出库,-,492,-
2012/1/3,黄河                          ,刘家峡入库,-,502,-
